Date;Time;GID;Station;Gradosx;minx;segx;Northing;Gradosy;miny;segy;Easting;altitude;frec;channel;dial;Azimuth;species
01/14/17;5:31;1;E1;4;38;24.2;4.640055556;75;32;50;-74.45277778;1942;150.015;A;1;163;Myadestes ralloides
01/14/17;6:10;1;E2;4;38;11.8;4.636611111;75;32;50;-74.45277778;2024;150.015;A;1;92;Myadestes ralloides
01/14/17;6:17;1;E2;4;38;11.8;4.636611111;75;32;50;-74.45277778;2024;150.005;A;2;124;Myiarchus tuberculifer
01/14/17;6:22;1;E3;4;38;4.7;4.634638889;75;32;50;-74.45277778;2089;150.015;A;1;20;Myadestes ralloides
01/14/17;6:35;1;E3;4;38;4.7;4.634638889;75;32;50;-74.45277778;2089;150.005;A;2;50;Myiarchus tuberculifer
01/14/17;6:39;1;E3;4;38;4.7;4.634638889;75;32;50;-74.45277778;2089;150.025;A;3;6;Syndactila subalaris
01/14/17;6:43;1;E3;4;38;4.7;4.634638889;75;32;50;-74.45277778;2089;150.165;B;1;62;Eubucco bourcierii
01/14/17;6:55;1;E12;4;38;7.1;4.635305556;75;32;50;-74.45277778;2097;150.015;A;1;58;Myadestes ralloides
01/14/17;7:00;1;E12;4;38;7.1;4.635305556;75;32;50;-74.45277778;2097;150.005;A;2;340;Myiarchus tuberculifer
01/14/17;7:02;1;E12;4;38;7.1;4.635305556;75;32;50;-74.45277778;2097;150.025;A;3;320;Syndactila subalaris
01/14/17;7:08;1;E12;4;38;7.1;4.635305556;75;32;50;-74.45277778;2097;150.165;B;1;162;Eubucco bourcierii
01/14/17;7:29;1;E5;4;38;10.5;4.63625;75;32;50;-74.45277778;2090;150.015;A;1;138;Myadestes ralloides
01/14/17;7:31;1;E5;4;38;10.5;4.63625;75;32;50;-74.45277778;2090;150.005;A;2;200;Myiarchus tuberculifer
01/14/17;7:35;1;E5;4;38;10.5;4.63625;75;32;50;-74.45277778;2090;150.025;A;3;300;Syndactila subalaris
01/14/17;7:39;1;E5;4;38;10.5;4.63625;75;32;50;-74.45277778;2090;150.165;B;1;220;Eubucco bourcierii
01/14/17;13:54;2;E12;4;38;7.1;4.635305556;75;32;50;-74.45277778;2097;150.015;A;1;288;Myadestes ralloides
01/14/17;14:02;2;E12;4;38;7.1;4.635305556;75;32;50;-74.45277778;2097;150.005;A;2;300;Myiarchus tuberculifer
